Container_ID,Weight_kg,Radiation_Level,Origin_Planet,Packaging_Type,Is_Contraband
10000,103.9,7.119872768093243,Jupiter-Moon,Plastic Wrap,0
10001,612.0,6.234011899153395,Kepler-452b,Lead Container,1
10002,273.3,6.367138646400955,Kepler-452b,Plastic Wrap,0
10003,192.6,2.2680885775989315,Kepler-452b,Standard Box,0
10004,,7.423887970772801,Kepler-452b,Plastic Wrap,0
10005,43.9,5.522501062467712,Mars,Standard Box,0
10006,22.0,4.261445721507593,Kepler-452b,Cryo-Chamber,0
10007,412.2,5.286776934684502,Mars,Plastic Wrap,0
10008,193.8,1.44752953420336,Mars,Plastic Wrap,0
10009,256.3,5.817305622961341,Mars,Standard Box,0
10010,,2.941256983635857,Mars,Standard Box,0
10011,710.7,2.294659428312931,Earth,Standard Box,0
10012,367.3,1.9552816275642178,Unknown,Standard Box,0
10013,57.7,7.2253767499798505,Mars,Plastic Wrap,0
10014,50.1,3.7414732126144226,Earth,,0
10015,50.5,8.067455419833,Mars,Plastic Wrap,0
10016,82.6,3.9283970738954044,Earth,Lead Container,0
10017,158.8,16.585284084814106,Earth,Plastic Wrap,1
10018,123.1,2.7669511201026817,Earth,Standard Box,0
10019,78.8,7.471623240013877,Mars,,0
10020,199.3,4.688203644126665,Mars,Lead Container,0
10021,40.0,3.903425407018798,Jupiter-Moon,,0
10022,79.1,5.320036451705575,Jupiter-Moon,Lead Container,0
10023,101.3,6.00356547233509,Mars,Plastic Wrap,0
10024,,7.234797631804922,Mars,Standard Box,0
10025,317.6,7.896998459785852,Mars,Plastic Wrap,0
10026,54.5,4.280462708421829,Jupiter-Moon,Standard Box,0
10027,154.4,2.3479046278359235,Earth,Standard Box,0
10028,189.5,4.173069677753448,Earth,Cryo-Chamber,0
10029,19.5,5.520561013165772,Jupiter-Moon,Cryo-Chamber,1
10030,197.1,18.07248214757878,Mars,Plastic Wrap,1
10031,47.4,18.085698170209916,Earth,Standard Box,1
10032,23.5,5.687575763099771,Earth,Lead Container,0
10033,604.7,4.902695296859098,Kepler-452b,Standard Box,0
10034,684.1,5.065593990823173,Kepler-452b,Lead Container,1
10035,340.5,3.4830093305998613,Jupiter-Moon,Plastic Wrap,0
10036,82.7,4.539198571588465,Mars,,0
10037,30.6,3.151533711463391,Mars,Lead Container,0
10038,240.6,6.780396822249574,Unknown,,0
10039,,7.070498669447505,Unknown,Standard Box,0
10040,36.0,1.3076242755238123,Earth,Plastic Wrap,0
10041,146.7,3.14097827961518,Kepler-452b,Standard Box,0
10042,,2.006941489819842,Earth,Lead Container,0
10043,490.1,3.699952131186204,Earth,Cryo-Chamber,0
10044,69.9,4.833124060419278,Jupiter-Moon,,0
10045,227.3,2.10070956060294,Mars,Cryo-Chamber,0
10046,84.7,3.1562803737493734,Kepler-452b,Lead Container,1
10047,156.8,2.992085255837003,Earth,Standard Box,0
10048,168.2,5.414534658797888,Mars,Plastic Wrap,0
10049,50.9,20.1386886740725,Kepler-452b,Lead Container,1
10050,708.6,3.556524893325493,Kepler-452b,Cryo-Chamber,0
10051,308.4,5.353641744278796,Earth,Standard Box,0
10052,571.0,3.906639830825469,Mars,Plastic Wrap,0
10053,460.4,4.456689779347894,Jupiter-Moon,Plastic Wrap,0
10054,192.2,8.346904180597074,Earth,Lead Container,0
10055,519.9,7.680922103580696,Unknown,Lead Container,0
10056,28.5,2.4008375261448047,Kepler-452b,Plastic Wrap,0
10057,,6.6594648357583495,Earth,Plastic Wrap,0
10058,19.3,21.622793108983185,Earth,Cryo-Chamber,1
