Age,Annual_Income,Total_Debt,FICO_Score,Education,Employment,Max_Loan_Amount,Loan_Default
56.0,24600.0,1562.3937615579343,611,High School,Self-Employed,49700.0,0
69.0,63700.0,33366.801239815744,465,Bachelor,,49800.0,1
46.0,33000.0,10358.23180980387,633,Bachelor,Employed,50600.0,0
32.0,16200.0,6800.985916050646,668,High School,Self-Employed,22200.0,0
60.0,15400.0,3796.3195286061873,659,High School,Retired,27000.0,0
25.0,52200.0,17557.359617912844,593,High School,,72500.0,0
38.0,14900.0,8427.373042081676,634,High School,Unemployed,14500.0,0
56.0,43900.0,2179.214603687488,575,Master,,84700.0,1
36.0,47400.0,7221.990233509918,538,High School,Unemployed,76300.0,1
40.0,20000.0,9359.859922926531,725,Bachelor,,27200.0,0
28.0,62000.0,3673.02409603517,659,Master,,135700.0,1
28.0,13000.0,590.1566104520647,634,High School,Employed,27800.0,1
41.0,43400.0,9414.538023555164,599,Bachelor,Employed,71800.0,0
53.0,35400.0,1957.647437954462,631,PhD,Employed,74500.0,0
57.0,,11865.390807941798,666,Master,Employed,51600.0,0
41.0,17900.0,2430.1961937702818,822,Bachelor,Self-Employed,44900.0,0
20.0,20700.0,11124.568702936203,715,Bachelor,Employed,24200.0,0
39.0,95900.0,45082.594651836065,583,Master,Employed,104600.0,1
19.0,75300.0,31612.681211574334,584,High School,Self-Employed,90000.0,1
41.0,56700.0,20988.435811620755,568,Master,,71600.0,1
61.0,63800.0,33053.468157471216,629,Bachelor,Self-Employed,68300.0,0
47.0,60300.0,8070.385386616943,568,Bachelor,Employed,104700.0,1
55.0,29900.0,15663.57263919024,697,PhD,Self-Employed,35000.0,0
19.0,37400.0,17716.207176635733,385,Master,Employed,26700.0,1
38.0,,6733.44743748917,703,High School,Employed,20500.0,0
50.0,34400.0,11584.317195466432,677,High School,Self-Employed,54500.0,0
29.0,73900.0,10918.466097436409,776,Bachelor,Employed,172500.0,0
39.0,24400.0,6200.741490121362,737,Bachelor,Employed,47300.0,0
61.0,67100.0,31949.154551732154,581,Bachelor,Employed,72100.0,1
42.0,38400.0,732.1762795927551,726,PhD,Employed,96500.0,0
66.0,15800.0,7413.841292620428,633,Master,Employed,18700.0,0
,18700.0,2693.5937082704963,456,Bachelor,Unemployed,25800.0,1
59.0,63000.0,5454.887787276594,665,High School,Employed,135100.0,0
45.0,50600.0,3512.692019953973,587,Bachelor,Retired,97600.0,0
33.0,38600.0,631.1102767808779,650,Bachelor,Employed,87100.0,0
32.0,30800.0,9675.87824689245,815,Bachelor,Employed,60800.0,0
64.0,41200.0,5395.384052988992,672,Bachelor,,84900.0,1
68.0,61600.0,36569.39806321518,548,Bachelor,Employed,48400.0,0
61.0,,30330.260710052466,746,High School,Self-Employed,151800.0,0
69.0,,7495.443242192726,686,High School,Employed,201200.0,0
20.0,45400.0,18761.89161170159,536,Bachelor,Employed,50400.0,1
54.0,32800.0,17667.593388911395,489,High School,Self-Employed,26100.0,1
68.0,39600.0,17705.464809982037,552,High School,Employed,42700.0,1
24.0,49700.0,2279.4366561963293,733,High School,Unemployed,122700.0,0
38.0,49600.0,26661.513232293546,619,Bachelor,Self-Employed,50100.0,1
,79600.0,37918.067468671914,658,High School,Employed,96800.0,0
56.0,129200.0,12271.718336187223,516,Master,Employed,212900.0,1
35.0,32100.0,997.3962169940528,736,Bachelor,Employed,80800.0,0
21.0,132400.0,44272.75210296866,448,Bachelor,Unemployed,139300.0,1
42.0,73400.0,6871.817131412583,584,Bachelor,Employed,137100.0,0
31.0,34200.0,17125.80634725498,691,High School,Employed,41600.0,0
67.0,89200.0,19178.070825067978,537,Bachelor,Employed,132700.0,1
26.0,99800.0,54663.999590826126,711,PhD,Employed,113300.0,0
43.0,27600.0,9367.796130655055,563,Bachelor,Employed,36200.0,0
19.0,102700.0,11256.27231684835,527,PhD,Unemployed,170100.0,1
37.0,69200.0,5796.1449727788995,778,Bachelor,Employed,174100.0,0
45.0,150400.0,52020.872765211716,665,High School,Retired,230900.0,1
64.0,28200.0,12891.070712712552,701,High School,Unemployed,37900.0,1
24.0,29400.0,13785.759626172092,751,Bachelor,Employed,41400.0,0
61.0,10800.0,1786.9079807795024,388,High School,Employed,12300.0,1
25.0,51200.0,6274.460433781785,713,High School,Employed,113100.0,1
64.0,45500.0,457.4471126420399,573,Master,Self-Employed,91100.0,1
52.0,25900.0,10554.754809666172,587,High School,Employed,31800.0,1
31.0,34600.0,1589.5570450802693,693,High School,Retired,80700.0,0
34.0,16500.0,4165.535897482665,613,Master,Self-Employed,26700.0,0
53.0,74500.0,26895.192731617837,709,Master,Employed,119100.0,0
67.0,27100.0,15237.391444393947,645,High School,,27000.0,0
57.0,232400.0,43477.68997711238,666,Master,Employed,444100.0,1
21.0,32700.0,4900.529827200718,600,Master,Unemployed,58900.0,1
19.0,23000.0,9027.410129148157,543,Bachelor,Employed,26800.0,1
23.0,28400.0,10551.833106193031,575,High School,Employed,36200.0,0
59.0,15600.0,3108.547571764046,639,High School,,28200.0,1
21.0,,27007.763413334786,833,Bachelor,Unemployed,63200.0,1
46.0,28200.0,14295.070581124586,797,High School,Employed,39100.0,0
35.0,71600.0,9622.290170363885,584,PhD,Retired,127700.0,1
43.0,30800.0,4419.354239629988,656,Bachelor,Employed,61100.0,0
61.0,83300.0,25604.77133741629,621,Bachelor,Employed,126500.0,0
51.0,57200.0,26548.99453139832,663,PhD,Employed,71700.0,1
27.0,36900.0,975.0539996606016,675,Master,Employed,85600.0,1
53.0,93700.0,38979.30234296521,702,High School,Employed,135600.0,0
31.0,64300.0,25008.9409210013,359,High School,Employed,49800.0,1
48.0,212700.0,29541.489840415557,686,Bachelor,Self-Employed,443500.0,0
65.0,28400.0,11610.255345632582,610,High School,,36100.0,0
32.0,38000.0,21436.17676054748,579,Bachelor,Employed,33800.0,0
25.0,,2613.4573001229896,729,Bachelor,Employed,232800.0,0
31.0,14400.0,2761.79375772342,796,Master,Self-Employed,32700.0,0
40.0,80000.0,21032.482399985052,718,Bachelor,Employed,149400.0,0
57.0,47300.0,25521.008986282686,598,Bachelor,Employed,46000.0,0
38.0,21300.0,12297.701287665022,542,High School,Employed,17200.0,1
33.0,,4263.50636636479,349,Bachelor,Self-Employed,14500.0,1
62.0,24300.0,10935.414249033147,668,High School,Unemployed,31500.0,0
35.0,9200.0,2934.768851179946,707,Master,,15600.0,0
64.0,27100.0,8744.350518894782,639,High School,Employed,41400.0,0
41.0,52800.0,8810.192637302172,743,Bachelor,Unemployed,115400.0,1
43.0,27300.0,3553.743307250346,517,High School,Retired,43300.0,1
42.0,83500.0,14429.067830794462,632,High School,Self-Employed,154100.0,0
62.0,98300.0,32812.225868022535,624,Bachelor,Retired,144200.0,1
58.0,78100.0,1366.2120169950904,638,Bachelor,Self-Employed,172800.0,1
46.0,41700.0,22699.368587797275,766,High School,Self-Employed,51400.0,0
32.0,9000.0,843.9320315687914,639,High School,Employed,18400.0,0
62.0,,3142.8663057234,620,Bachelor,Employed,45200.0,0
18.0,33300.0,10355.158005423973,556,Bachelor,Employed,45000.0,1
42.0,21200.0,9032.659827810192,782,High School,Unemployed,33600.0,1
24.0,33400.0,1918.410257077722,506,Bachelor,Retired,56200.0,1
26.0,,18184.844487599563,594,High School,Self-Employed,161900.0,1
41.0,13500.0,7846.264305152292,819,Bachelor,Employed,16300.0,0
18.0,107700.0,16952.60251338471,696,High School,Employed,222900.0,0
61.0,61700.0,11589.116370237696,647,Bachelor,Employed,114400.0,1
25.0,42700.0,21431.091329634015,652,High School,Employed,48900.0,0
41.0,23700.0,714.0492186382737,555,PhD,Self-Employed,45000.0,0
28.0,21500.0,5993.509877635724,643,High School,Retired,35200.0,1
68.0,13700.0,3120.449803792729,615,High School,Employed,23000.0,1
34.0,101700.0,19318.124089625893,667,High School,Employed,193900.0,0
25.0,91400.0,15667.765737414888,499,Master,Self-Employed,133400.0,1
52.0,15600.0,855.2616214934301,689,Bachelor,Employed,35900.0,0
52.0,26100.0,4930.172487646821,751,Bachelor,Unemployed,56100.0,0
50.0,47100.0,1216.6609007447937,629,Master,Employed,101900.0,0
22.0,30300.0,14197.923041055832,714,Master,Employed,40600.0,0
59.0,11500.0,2747.7717783102803,681,Bachelor,Employed,21000.0,0
56.0,24500.0,6525.386335102699,589,High School,Employed,37400.0,1
58.0,117100.0,62783.95564398624,544,Master,Employed,104300.0,1
45.0,25500.0,10068.241253076676,558,High School,Employed,30400.0,0
24.0,32900.0,159.0866999734446,679,Bachelor,Employed,78500.0,0
26.0,18300.0,10356.05955611491,644,Bachelor,Employed,18100.0,0
25.0,51700.0,7356.221334628602,777,Bachelor,Employed,121600.0,0
29.0,38900.0,2511.7150722951055,729,Bachelor,Employed,93600.0,0
51.0,23300.0,10738.431933764732,728,Bachelor,Employed,32300.0,0
50.0,16600.0,4984.754066032513,676,PhD,Self-Employed,27700.0,0
65.0,84300.0,21940.115229191328,553,High School,,121700.0,1
40.0,13900.0,2080.855684554066,682,High School,Employed,28400.0,0
41.0,49100.0,16128.510091343906,656,Bachelor,Employed,76300.0,0
54.0,10000.0,1646.3076312155247,536,PhD,Employed,15800.0,1
52.0,55500.0,30022.714076059347,770,High School,Employed,69200.0,0
61.0,65000.0,8392.974709594519,760,High School,,151800.0,0
57.0,70000.0,37142.916319141645,535,High School,,62000.0,1
39.0,33000.0,11076.227429401668,586,High School,Self-Employed,45300.0,0
