CustomerID,Age,Total_Spent,Last_Login_Days_Ago,Support_Tickets,Region,Subscription_Type,Churn
CUST_0001,56,2035.48,1,0.0,South,Basic,No
CUST_0002,69,891.16,12,0.0,West,Basic,No
CUST_0003,46,2056.22,127,0.0,East,Basic,No
CUST_0004,32,308.16,7,1.0,East,None,Yes
CUST_0005,60,546.93,113,1.0,West,Premium,No
CUST_0006,25,370.85,12,1.0,East,Premium,No
CUST_0007,38,1753.86,20,1.0,East,Premium,No
CUST_0008,56,2239.71,64,0.0,North,None,No
CUST_0009,36,940.28,26,0.0,North,Basic,No
CUST_0010,40,458.09,49,0.0,South,Basic,No
CUST_0011,28,1075.19,92,2.0,East,None,No
CUST_0012,28,674.13,60,1.0,West,Basic,No
CUST_0013,41,494.64,35,0.0,West,Basic,Yes
CUST_0014,70,1539.16,96,,West,Basic,No
CUST_0015,53,513.89,65,4.0,South,Premium,No
CUST_0016,57,228.98,1,1.0,West,Premium,No
CUST_0017,41,285.97,109,2.0,East,Basic,No
CUST_0018,20,220.69,55,0.0,South,Premium,No
CUST_0019,39,1404.61,21,0.0,East,Premium,No
CUST_0020,70,1274.62,1,1.0,North,None,No
CUST_0021,19,1212.6,1,1.0,North,Premium,No
CUST_0022,41,1973.83,98,1.0,West,Premium,No
CUST_0023,61,3611.79,99,1.0,East,Premium,No
CUST_0024,47,606.52,33,1.0,South,Basic,No
CUST_0025,55,1646.62,1,1.0,East,Basic,No
CUST_0026,19,225.97,1,0.0,West,Basic,No
CUST_0027,38,4353.39,1,0.0,East,Basic,No
CUST_0028,50,315.82,1,2.0,South,Basic,No
CUST_0029,29,539.11,111,0.0,North,Basic,No
CUST_0030,39,603.23,112,0.0,South,Basic,No
CUST_0031,61,238.35,1,1.0,West,Basic,No
CUST_0032,42,1132.94,29,4.0,South,Basic,Yes
CUST_0033,66,1358.18,1,0.0,East,Premium,No
CUST_0034,44,907.4,29,0.0,East,None,No
CUST_0035,59,235.04,95,2.0,West,Premium,No
CUST_0036,45,7969.57,73,2.0,East,Basic,No
CUST_0037,33,1899.28,62,1.0,East,Basic,No
CUST_0038,32,15278.81,22,0.0,South,Basic,No
CUST_0039,64,490.24,80,0.0,North,Basic,No
CUST_0040,68,2858.01,55,1.0,West,Premium,No
CUST_0041,61,2390.54,46,2.0,West,Basic,No
CUST_0042,72,820.1,25,2.0,West,Premium,No
CUST_0043,69,4496.48,42,0.0,West,Premium,No
CUST_0044,74,731.13,41,0.0,West,Basic,No
CUST_0045,20,764.41,8,0.0,East,Premium,No
CUST_0046,54,34.08,1,4.0,West,Basic,Yes
CUST_0047,68,1650.82,1,1.0,East,Basic,No
CUST_0048,24,291.34,1,0.0,North,Premium,No
CUST_0049,38,632.25,22,0.0,South,None,No
CUST_0050,26,392.99,15,1.0,West,None,No
CUST_0051,56,760.34,5,0.0,South,None,Yes
CUST_0052,35,1709.37,2,2.0,West,Basic,No
CUST_0053,21,1108.92,41,1.0,North,Basic,No
CUST_0054,42,2229.74,85,0.0,South,Basic,No
CUST_0055,31,3887.92,29,0.0,South,Basic,Yes
CUST_0056,67,758.39,26,2.0,North,Basic,No
CUST_0057,26,679.55,1,0.0,North,Premium,No
CUST_0058,43,2857.57,21,0.0,North,Premium,No
CUST_0059,70,3093.47,77,3.0,West,None,Yes
CUST_0060,19,2299.83,71,2.0,North,None,Yes
CUST_0061,37,423.19,68,2.0,South,Basic,No
CUST_0062,45,1673.47,67,0.0,North,None,Yes
CUST_0063,64,1223.5,47,0.0,East,Basic,Yes
CUST_0064,24,3141.73,46,0.0,East,Basic,No
CUST_0065,61,618.4,39,0.0,East,Premium,No
CUST_0066,25,207.14,13,1.0,South,Basic,No
CUST_0067,64,2186.89,33,0.0,North,None,No
CUST_0068,52,84.91,38,1.0,East,Premium,No
CUST_0069,31,527.68,55,0.0,West,None,Yes
CUST_0070,34,394.18,34,0.0,North,None,No
CUST_0071,53,391.53,114,4.0,East,Premium,No
CUST_0072,67,518.51,1,0.0,North,Basic,No
CUST_0073,57,3704.76,60,0.0,North,Basic,No
CUST_0074,21,2491.29,28,0.0,East,Basic,No
CUST_0075,19,852.58,30,0.0,East,Basic,No
CUST_0076,23,3407.12,1,0.0,North,None,No
CUST_0077,71,379.06,70,0.0,South,Basic,No
CUST_0078,59,330.87,56,1.0,West,None,No
CUST_0079,21,2600.86,63,2.0,West,Premium,No
CUST_0080,71,1957.93,36,0.0,West,Basic,No
CUST_0081,46,692.1,17,0.0,East,Basic,No
CUST_0082,35,352.32,27,1.0,East,Basic,No
CUST_0083,43,4720.79,47,0.0,South,Basic,No
CUST_0084,61,196.35,1,1.0,North,Premium,No
CUST_0085,51,602.79,64,1.0,South,Basic,No
CUST_0086,27,1378.26,127,0.0,East,Premium,Yes
CUST_0087,53,6648.62,49,2.0,South,Basic,No
CUST_0088,31,1608.57,18,3.0,West,Premium,No
CUST_0089,48,1772.78,23,2.0,North,None,No
CUST_0090,65,620.56,58,0.0,South,Basic,No
CUST_0091,32,1936.2,19,1.0,North,Basic,No
CUST_0092,25,1218.42,64,3.0,South,Premium,No
CUST_0093,31,223.98,23,0.0,North,None,No
CUST_0094,40,2423.42,98,2.0,South,Basic,No
CUST_0095,74,2894.0,97,0.0,South,Basic,Yes
CUST_0096,57,2448.83,16,0.0,East,Basic,No
CUST_0097,38,1133.8,26,1.0,East,Basic,No
CUST_0098,33,421.5,29,1.0,South,Basic,No
CUST_0099,62,108.94,29,1.0,East,Basic,No
CUST_0100,35,1283.12,1,3.0,East,Premium,No
CUST_0101,64,3235.51,1,0.0,South,Basic,No
CUST_0102,70,2967.67,79,0.0,West,Basic,Yes
CUST_0103,41,2480.15,73,3.0,East,Basic,No
CUST_0104,43,1018.2,72,0.0,South,None,No
CUST_0105,42,3253.43,27,1.0,West,Basic,No
CUST_0106,62,2763.25,105,0.0,West,None,Yes
CUST_0107,58,718.64,29,0.0,West,Premium,No
CUST_0108,46,2157.27,64,0.0,East,Basic,No
CUST_0109,32,641.65,1,0.0,South,Basic,No
CUST_0110,62,,20,2.0,South,Premium,No
CUST_0111,18,299.13,23,1.0,East,Premium,No
CUST_0112,42,323.04,27,1.0,West,Premium,No
CUST_0113,24,3159.62,1,0.0,East,Premium,No
CUST_0114,26,2800.52,58,0.0,West,Premium,No
CUST_0115,41,2066.5,71,0.0,South,Basic,No
CUST_0116,18,1197.47,1,0.0,South,None,No
CUST_0117,61,100.36,1,0.0,West,Premium,No
CUST_0118,25,1017.52,1,0.0,East,Basic,No
CUST_0119,41,1727.07,49,0.0,West,Premium,No
CUST_0120,28,642.44,6,0.0,East,Premium,No
CUST_0121,68,537.81,24,0.0,South,Basic,No
CUST_0122,34,4649.06,1,1.0,East,Basic,No
CUST_0123,25,1032.47,109,0.0,West,Basic,No
CUST_0124,52,1728.13,32,0.0,East,Basic,No
CUST_0125,52,2378.28,75,3.0,South,Basic,Yes
CUST_0126,50,402.85,49,0.0,South,Basic,No
CUST_0127,22,1330.36,28,2.0,East,Basic,No
CUST_0128,59,4103.7,26,0.0,North,Basic,No
CUST_0129,56,6763.01,1,2.0,East,None,No
CUST_0130,58,1141.32,11,0.0,North,Basic,No
CUST_0131,45,864.42,1,1.0,South,Basic,No
CUST_0132,24,1435.15,1,0.0,West,Basic,No
CUST_0133,26,1399.17,113,1.0,East,Premium,No
CUST_0134,25,4388.57,41,0.0,West,Basic,No
CUST_0135,29,404.89,88,0.0,South,Basic,No
CUST_0136,51,828.92,1,1.0,West,Basic,No
CUST_0137,50,358.83,1,0.0,North,None,No
CUST_0138,65,398.58,1,3.0,North,Premium,No
CUST_0139,72,1598.11,13,0.0,West,Basic,No
CUST_0140,40,2464.78,31,0.0,East,Basic,No
CUST_0141,41,572.84,23,1.0,North,Basic,No
CUST_0142,54,2373.44,1,0.0,West,Basic,Yes
CUST_0143,52,3332.84,33,0.0,East,Premium,No
CUST_0144,61,7590.9,37,1.0,West,Basic,No
CUST_0145,57,,58,1.0,East,Premium,No
CUST_0146,39,578.38,88,3.0,East,Basic,No
CUST_0147,44,402.43,15,0.0,South,Premium,No
CUST_0148,52,364.38,78,0.0,South,Basic,No
CUST_0149,18,3826.79,32,0.0,East,Basic,No
CUST_0150,52,241.03,1,0.0,East,Premium,No
CUST_0151,54,3706.15,101,1.0,North,Basic,No
CUST_0152,64,460.15,120,,South,Premium,No
CUST_0153,31,552.69,54,0.0,North,None,No
CUST_0154,20,942.41,33,0.0,West,Basic,No
CUST_0155,18,542.59,19,1.0,East,None,No
CUST_0156,22,2784.93,11,3.0,East,Basic,No
CUST_0157,43,6723.36,78,1.0,West,Basic,No
CUST_0158,72,568.25,29,0.0,East,Premium,No
CUST_0159,31,711.78,96,1.0,West,Premium,No
CUST_0160,56,931.39,31,1.0,South,Basic,No
CUST_0161,44,1883.82,13,0.0,North,Premium,No
CUST_0162,26,940.6,5,0.0,South,None,No
CUST_0163,32,4390.76,1,0.0,East,Basic,No
CUST_0164,32,3451.71,50,0.0,West,None,Yes
CUST_0165,43,335.14,1,2.0,East,Premium,No
CUST_0166,59,1846.35,1,0.0,South,None,No
CUST_0167,30,5015.75,82,0.0,East,Basic,No
CUST_0168,68,668.62,1,3.0,East,Premium,No
CUST_0169,49,817.08,64,2.0,North,Basic,No
CUST_0170,56,646.75,1,1.0,East,None,No
CUST_0171,66,660.45,88,0.0,West,Premium,No
CUST_0172,69,206.76,1,0.0,West,Basic,No
CUST_0173,49,290.52,1,0.0,East,Basic,No
CUST_0174,21,1184.97,57,0.0,South,None,No
CUST_0175,47,4982.06,40,0.0,North,Premium,Yes
CUST_0176,54,593.86,65,1.0,East,Basic,No
CUST_0177,40,576.65,1,0.0,East,Basic,Yes
CUST_0178,56,6012.05,18,0.0,South,None,No
CUST_0179,62,362.04,5,0.0,North,Basic,No
CUST_0180,32,208.25,1,1.0,West,Basic,No
CUST_0181,60,478.9,53,1.0,West,None,Yes
CUST_0182,46,565.22,67,1.0,East,Basic,No
CUST_0183,53,191.05,16,0.0,North,Basic,No
CUST_0184,30,964.84,90,0.0,North,Basic,No
CUST_0185,49,2831.17,1,0.0,North,None,No
CUST_0186,24,303.09,89,0.0,East,Basic,No
CUST_0187,68,1197.01,52,2.0,North,Premium,No
CUST_0188,39,1629.35,1,4.0,West,None,No
CUST_0189,45,1008.9,109,1.0,West,Basic,No
CUST_0190,19,1320.4,12,3.0,South,None,Yes
